Newspaper,Circ: 04,Circ: 13,Pulitzer: 90-03,Pulitzer: 04-14
USA Today,2192098,1674306,1,1
Wall Street Journal,2101017,2378827,30,20
New York Times,1119027,1865318,55,62,1
Los Angeles Times,983727,653868,44,41
Washington Post,760034,474767,52,48,1
New York Daily News,712671,516165,4,2
New York Post,642844,500521,0,0
Chicago Tribune,603315,414930,23,15,
San Jose Mercury News,558874,583998,4,2
Newsday,553117,377744,12,6
Houston Chronicle,549300,360251,2,3
Dallas Morning News,528379,409265,11,6
San Francisco Chronicle,499008,218987,7,2
Arizona Republic,466926,293640,5,2
Chicago Sun-Times,453757,470548,1,1
Boston Globe,446241,245572,25,16
Atlanta Journal Constitution,409873,231094,1,5
Newark Star Ledger,395000,340778,2,6
Detroit Free Press,379304,209652,7,5
Minneapolis Star Tribune,377058,301345,4,4
Philadelphia Inquirer,376454,306831,24,8
Cleveland Plain Dealer,367528,311605,4,7
San Diego Union-Tribune,355771,250678,0,2
Tampa Bay Times,348502,340260,10,11
Denver Post,340168,416676,1,8
Rocky Mountain News,340007,0,4,1
Oregonian,339169,228909,9,8
Miami Herald,325032,147130,17,7
Orange County Register,310001,356165,3,2
Sacramento Bee,303841,200802,4,4
St. Louis Post-Dispatch,281198,167199,4,3
Baltimore Sun,277947,177054,11,2
Kansas City Star,275747,189283,2,0
Detroit News,271465,115643,4,0
Orlando Sentinel,269269,161070,5,2
South Florida Sun-Sentinel,268297,163728,0,1
New Orleans Times-Picayune,262008,0,5,3
Columbus Dispatch,259127,137148,1,0
Indianapolis Star,253778,156850,1,0
San Antonio Express-News,246057,139005,0,0
Pittsburgh Post-Gazette,242514,180433,3,0
Milwaukee Journal Sentinel,241605,198469,2,8
Tampa Tribune,238877,191477,0,0
Fort Woth Star-Telegram,237318,188593,1,0
Boston Herald,236899,95929,0,0
Seattle Times,233497,229764,11,5
Charlotte Observer,231369,137829,1,3
Daily Oklahoman,223403,124667,0,0
Louisville Courier-Journal,216934,131208,0,3
Investor's Buisiness Daily,215735,157161,0,1
